Genome	Description	TotalLength
GCF_900101465.1	HKPHLILL_02084 ATP-dependent Clp protease ATP-binding subunit ClpX	128
GCF_900101465.1	HKPHLILL_01910 Gamma-glutamylputrescine oxidoreductase	431
GCF_001571775.1	HKPKKJIE_00495 2-aminoadipate transaminase	394
GCF_001571775.1	HKPKKJIE_02510 hypothetical protein	110
GCF_001571775.1	HKPKKJIE_00960 hypothetical protein	38
GCF_001571775.1	HKPKKJIE_02735 Acyl carrier protein	74
GCF_001571775.1	HKPKKJIE_02879 Serine/threonine-protein kinase PknD	794
GCF_900258505.1	HKPNOBIJ_01728 hypothetical protein	500
GCF_900258505.1	HKPNOBIJ_02319 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	562
GCF_900258505.1	HKPNOBIJ_00022 hypothetical protein	270
GCF_900258505.1	HKPNOBIJ_02030 hypothetical protein	277
GCF_900258505.1	HKPNOBIJ_02428 hypothetical protein	61
GCF_028583185.1	HKPOOCIF_01057 hypothetical protein	218
GCF_028583185.1	HKPOOCIF_01556 hypothetical protein	261
GCF_028583185.1	HKPOOCIF_02932 hypothetical protein	89
GCF_028583185.1	HKPOOCIF_03155 putative enoyl-CoA hydratase echA17	261
GCF_028583185.1	HKPOOCIF_02661 Ribonuclease VapC19	125
GCF_002078605.1	HLAFGFBO_00061 Deoxyuridine 5'-triphosphate nucleotidohydrolase	144
GCF_002078605.1	HLAFGFBO_00610 hypothetical protein	444
GCF_002078605.1	HLAFGFBO_00172 Ribosomal RNA small subunit methyltransferase I	223
GCF_002078605.1	HLAFGFBO_02844 Lysine 6-dehydrogenase	382
GCF_002078605.1	HLAFGFBO_01901 60 kDa chaperonin	547
GCF_016862195.1	HLAGCMCL_01009 Putative glutamine amidotransferase	255
GCF_016862195.1	HLAGCMCL_06346 hypothetical protein	78
GCF_016862195.1	HLAGCMCL_04814 hypothetical protein	244
GCF_016862195.1	HLAGCMCL_02413 hypothetical protein	423
GCF_016862195.1	HLAGCMCL_06137 hypothetical protein	816
GCF_004104115.1	HLALBDJN_02604 Peptidoglycan O-acetyltransferase	498
GCF_004104115.1	HLALBDJN_01790 hypothetical protein	203
GCF_004104115.1	HLALBDJN_00446 hypothetical protein	180
GCF_004104115.1	HLALBDJN_00609 Putative TrmH family tRNA/rRNA methyltransferase	184
GCF_004104115.1	HLALBDJN_01837 hypothetical protein	678
GCF_005938105.1	HLBAJGAJ_03389 N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase	441
GCF_005938105.1	HLBAJGAJ_00871 5-methylphenazine-1-carboxylate 1-monooxygenase	417
GCF_005938105.1	HLBAJGAJ_05067 GTPase Era	311
GCF_005938105.1	HLBAJGAJ_00552 hypothetical protein	346
GCF_005938105.1	HLBAJGAJ_02953 hypothetical protein	273
GCF_000021925.1	HLBICBOG_04720 putative ABC transporter ATP-binding protein	234
GCF_000021925.1	HLBICBOG_00801 hypothetical protein	211
GCF_000021925.1	HLBICBOG_02516 Anaerobic dimethyl sulfoxide reductase chain B	114
GCF_000021925.1	HLBICBOG_01205 hypothetical protein	214
GCF_000021925.1	HLBICBOG_00494 Alkyl hydroperoxide reductase C	187
GCF_000510645.1	HLCKAKOI_03213 PTS system N-acetylglucosamine-specific EIICB component	452
GCF_000510645.1	HLCKAKOI_03255 UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1	444
GCF_000510645.1	HLCKAKOI_00590 Purine-binding protein	324
GCF_000510645.1	HLCKAKOI_02743 hypothetical protein	143
GCF_000510645.1	HLCKAKOI_00549 HTH-type transcriptional repressor MelR	329
GCF_000186365.1	HLCLCOLM_00950 Bacteriohemerythrin	253
GCF_000186365.1	HLCLCOLM_00114 hypothetical protein	74
GCF_000186365.1	HLCLCOLM_01162 Protein archease	154
GCF_000186365.1	HLCLCOLM_00393 3'-5' exoribonuclease YhaM	155
GCF_000186365.1	HLCLCOLM_01134 Signal recognition particle receptor FtsY	296
GCF_006475605.1	HLDBFLEJ_00208 Isopentenyl-diphosphate delta-isomerase	544
GCF_006475605.1	HLDBFLEJ_02324 hypothetical protein	528
GCF_006475605.1	HLDBFLEJ_02308 Nitrate transporter	403
GCF_006475605.1	HLDBFLEJ_02402 Vitamin B12 transporter BtuB	1143
GCF_006475605.1	HLDBFLEJ_02715 hypothetical protein	766
GCF_002993925.1	HLDMCGNG_02382 hypothetical protein	144
GCF_002993925.1	HLDMCGNG_03618 Protein LiaG	287
GCF_002993925.1	HLDMCGNG_02588 hypothetical protein	112
GCF_002993925.1	HLDMCGNG_03657 DNA helicase IV	778
GCF_002993925.1	HLDMCGNG_00727 Leucine efflux protein	210
GCF_900638655.1	HLEEPDPD_00104 putative cyclic di-GMP phosphodiesterase PdeK	673
GCF_900638655.1	HLEEPDPD_01958 hypothetical protein	79
GCF_900638655.1	HLEEPDPD_03484 L-cystine-binding protein FliY	283
GCF_900638655.1	HLEEPDPD_01181 hypothetical protein	160
GCF_900638655.1	HLEEPDPD_03331 Formate dehydrogenase-O major subunit	195
GCF_003987225.1	HLEFOLMC_01717 hypothetical protein	164
GCF_003987225.1	HLEFOLMC_01104 Vitamin B12 transporter BtuB	983
GCF_003987225.1	HLEFOLMC_00974 hypothetical protein	475
GCF_003987225.1	HLEFOLMC_00047 hypothetical protein	146
GCF_003987225.1	HLEFOLMC_00589 Citrate/2-methylcitrate dehydratase	494
GCF_900176615.1	HLEIMHGJ_00095 GTP cyclohydrolase 1 type 2	271
GCF_900176615.1	HLEIMHGJ_00535 Nucleobase transporter PlAzg2	433
GCF_900176615.1	HLEIMHGJ_02747 Delta-aminolevulinic acid dehydratase	323
GCF_900176615.1	HLEIMHGJ_01706 5-dehydro-2-deoxygluconokinase	338
GCF_900176615.1	HLEIMHGJ_01107 hypothetical protein	375
GCF_007341385.1	HLFGAFMC_00467 hypothetical protein	109
GCF_007341385.1	HLFGAFMC_03330 hypothetical protein	164
GCF_007341385.1	HLFGAFMC_03539 hypothetical protein	284
GCF_007341385.1	HLFGAFMC_01997 Glutathione-regulated potassium-efflux system ancillary protein KefF	162
GCF_007341385.1	HLFGAFMC_01474 Putative transport protein	366
GCF_009755815.1	HLFPJNDD_02137 Beta-barrel assembly-enhancing protease	1215
GCF_009755815.1	HLFPJNDD_01075 HTH-type transcriptional activator CmpR	292
GCF_009755815.1	HLFPJNDD_05837 hypothetical protein	152
GCF_009755815.1	HLFPJNDD_05561 hypothetical protein	75
GCF_009755815.1	HLFPJNDD_00410 Peptide methionine sulfoxide reductase MsrA	235
GCF_007567505.1	HLGMPPCN_03044 hypothetical protein	143
GCF_007567505.1	HLGMPPCN_04094 Methylmalonyl-CoA carboxyltransferase 12S subunit	535
GCF_007567505.1	HLGMPPCN_02300 hypothetical protein	243
GCF_007567505.1	HLGMPPCN_02323 hypothetical protein	634
GCF_007567505.1	HLGMPPCN_02395 Porphobilinogen deaminase	324
GCF_900111775.1	HLHDPFKK_01068 30S ribosomal protein S13	122
GCF_900111775.1	HLHDPFKK_01680 Phosphoglucomutase	550
GCF_900111775.1	HLHDPFKK_00257 hypothetical protein	1133
GCF_900111775.1	HLHDPFKK_02905 Regulatory protein AtoC	452
GCF_900111775.1	HLHDPFKK_02247 Dihydroorotase	423
GCF_003330825.1	HLHGNANP_03061 Glutamine transport ATP-binding protein GlnQ	71
GCF_003330825.1	HLHGNANP_01883 hypothetical protein	50
GCF_003330825.1	HLHGNANP_03284 Transcriptional regulatory protein OmpR	246
GCF_003330825.1	HLHGNANP_04995 Formate dehydrogenase-O iron-sulfur subunit	310
GCF_003330825.1	HLHGNANP_03814 Pyrroline-5-carboxylate reductase	200
GCF_005221285.1	HLHHMDDB_02163 hypothetical protein	283
GCF_005221285.1	HLHHMDDB_00090 hypothetical protein	84
GCF_005221285.1	HLHHMDDB_02043 Ribosomal RNA small subunit methyltransferase I	292
GCF_005221285.1	HLHHMDDB_00625 hypothetical protein	435
GCF_005221285.1	HLHHMDDB_02242 Ribosomal RNA small subunit methyltransferase I	236
GCF_900111935.1	HLIBCGNN_02532 hypothetical protein	176
GCF_900111935.1	HLIBCGNN_02584 Chromosome partition protein Smc	797
GCF_900111935.1	HLIBCGNN_00853 GTPase HflX	449
GCF_900111935.1	HLIBCGNN_01122 Plastocyanin	362
GCF_900111935.1	HLIBCGNN_02180 hypothetical protein	272
GCF_007923355.1	HLIGMIHH_00261 hypothetical protein	70
GCF_007923355.1	HLIGMIHH_01077 hypothetical protein	528
GCF_007923355.1	HLIGMIHH_00294 DNA-binding transcriptional activator DecR	155
GCF_007923355.1	HLIGMIHH_01591 hypothetical protein	112
GCF_007923355.1	HLIGMIHH_02503 hypothetical protein	55
GCF_003259745.1	HLIJPGAI_03663 hypothetical protein	818
GCF_003259745.1	HLIJPGAI_05085 Apulose-4-phosphate transketolase subunit A	285
GCF_003259745.1	HLIJPGAI_05059 hypothetical protein	152
GCF_003259745.1	HLIJPGAI_02086 hypothetical protein	189
GCF_003259745.1	HLIJPGAI_05137 hypothetical protein	140
GCF_014645075.1	HLIPJBPM_03833 Cytochrome c2	152
GCF_014645075.1	HLIPJBPM_02113 hypothetical protein	93
GCF_014645075.1	HLIPJBPM_02949 8-demethyl-8-aminoriboflavin-5'-phosphate synthase	239
GCF_014645075.1	HLIPJBPM_01111 hypothetical protein	237
GCF_014645075.1	HLIPJBPM_00219 Penicillin-binding protein activator LpoA	391
GCF_002221525.1	HLJMMCKK_03383 Sporulation initiation inhibitor protein Soj	261
GCF_002221525.1	HLJMMCKK_01789 Proline--tRNA ligase	574
GCF_002221525.1	HLJMMCKK_01604 Pyruvate kinase II	478
GCF_002221525.1	HLJMMCKK_01879 hypothetical protein	150
GCF_002221525.1	HLJMMCKK_04043 hypothetical protein	181
GCF_001908725.1	HLJPGMPP_02483 hypothetical protein	218
GCF_001908725.1	HLJPGMPP_04190 hypothetical protein	321
GCF_001908725.1	HLJPGMPP_02715 tRNA pseudouridine synthase C	245
GCF_001908725.1	HLJPGMPP_04504 hypothetical protein	355
GCF_001908725.1	HLJPGMPP_04326 5'-nucleotidase SurE	259
GCF_000621165.1	HLKAMAEJ_04512 ADP compounds hydrolase NudE	184
GCF_000621165.1	HLKAMAEJ_04614 hypothetical protein	216
GCF_000621165.1	HLKAMAEJ_03484 RNA polymerase sigma factor RpoD	609
GCF_000621165.1	HLKAMAEJ_01143 Teichoic acid translocation permease protein TagG	268
GCF_000621165.1	HLKAMAEJ_01815 Threonine--tRNA ligase	642
GCF_002068175.1	HLKMJGAI_00256 hypothetical protein	242
GCF_002068175.1	HLKMJGAI_02118 hypothetical protein	340
GCF_002068175.1	HLKMJGAI_01690 Elongation factor Ts	282
GCF_002068175.1	HLKMJGAI_01044 hypothetical protein	230
GCF_002068175.1	HLKMJGAI_00360 Cell division protein FtsB	107
GCF_001507385.1	HLLAJNJG_01841 Thiazole synthase	256
GCF_001507385.1	HLLAJNJG_02137 hypothetical protein	575
GCF_001507385.1	HLLAJNJG_01208 hypothetical protein	360
GCF_001507385.1	HLLAJNJG_02292 Acetate kinase	400
GCF_001507385.1	HLLAJNJG_01144 hypothetical protein	413
GCA_026707805.1	HLMABLNE_03597 Ureidoglycolate lyase	167
GCA_026707805.1	HLMABLNE_02679 hypothetical protein	257
GCA_026707805.1	HLMABLNE_02619 LL-diaminopimelate aminotransferase	241
GCA_026707805.1	HLMABLNE_01604 Glyoxalase ElbB	219
GCA_026707805.1	HLMABLNE_02071 Acetylpolyamine amidohydrolase 1	347
GCF_003121295.1	HLMAELBJ_00208 hypothetical protein	38
GCF_003121295.1	HLMAELBJ_01211 hypothetical protein	126
GCF_003121295.1	HLMAELBJ_03849 hypothetical protein	112
GCF_003121295.1	HLMAELBJ_01821 Putative mycofactocin biosynthesis transcriptional regulator MftR	220
GCF_003121295.1	HLMAELBJ_05855 hypothetical protein	64
GCF_000016425.1	HLMAHMPD_04390 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	161
GCF_000016425.1	HLMAHMPD_03803 Sulfite reductase [ferredoxin]	569
GCF_000016425.1	HLMAHMPD_03732 hypothetical protein	162
GCF_000016425.1	HLMAHMPD_02847 putative ABC transporter ATP-binding protein YknY	269
GCF_000016425.1	HLMAHMPD_01650 putative copper-exporting P-type ATPase V	626
GCF_900101785.1	HLMBEOLO_04046 Protein YceI	179
GCF_900101785.1	HLMBEOLO_00912 hypothetical protein	167
GCF_900101785.1	HLMBEOLO_03900 GTPase Era	311
GCF_900101785.1	HLMBEOLO_02535 Ferredoxin	108
GCF_900101785.1	HLMBEOLO_01643 hypothetical protein	144
GCF_000013425.1	HLMDJBAP_00603 hypothetical protein	229
GCF_000013425.1	HLMDJBAP_00448 Clp protease ATP binding subunit	818
GCF_000013425.1	HLMDJBAP_02017 putative metal-dependent membrane protease	247
GCF_000013425.1	HLMDJBAP_01119 recombination protein RecA	347
GCF_000013425.1	HLMDJBAP_01043 DNA-directed RNA polymerase subunit omega	72
GCF_001544515.1	HLMKFAAA_01700 hypothetical protein	522
GCF_001544515.1	HLMKFAAA_05157 Small-conductance mechanosensitive channel	270
GCF_001544515.1	HLMKFAAA_02421 Dipeptide transport system permease protein DppB	314
GCF_001544515.1	HLMKFAAA_06108 hypothetical protein	443
GCF_001544515.1	HLMKFAAA_05614 hypothetical protein	797
GCF_015453285.1	HLNBJHEE_03415 HTH-type transcriptional regulator YhaJ	305
GCF_015453285.1	HLNBJHEE_02527 Glucose-6-phosphate isomerase	502
GCF_015453285.1	HLNBJHEE_01646 putative amino acid permease YhdG	474
GCF_015453285.1	HLNBJHEE_02547 5-oxoprolinase subunit C	315
GCF_015453285.1	HLNBJHEE_01218 hypothetical protein	54
GCF_900102045.1	HLNDJKJP_03737 DNA-directed RNA polymerase subunit beta'	1399
GCF_900102045.1	HLNDJKJP_03689 Aerobic C4-dicarboxylate transport protein	452
GCF_900102045.1	HLNDJKJP_03551 putative protein	297
GCF_900102045.1	HLNDJKJP_03548 HTH-type transcriptional regulator XynR	258
GCF_900102045.1	HLNDJKJP_01765 Error-prone DNA polymerase	1025
GCF_002277935.1	HLNGJBLB_00617 aromatic amino acid aminotransferase	387
GCF_002277935.1	HLNGJBLB_01650 phosphopantothenate--cysteine ligase	250
GCF_002277935.1	HLNGJBLB_01708 cell division protein MraZ	161
GCF_002277935.1	HLNGJBLB_01946 LysM domain-containing protein	211
GCF_002277935.1	HLNGJBLB_02306 hypothetical protein	54
GCF_000963925.1	HLNHIKJB_00333 Superoxide dismutase [Mn]	200
GCF_000963925.1	HLNHIKJB_02261 hypothetical protein	167
GCF_000963925.1	HLNHIKJB_02242 Adaptive-response sensory-kinase SasA	475
GCF_000963925.1	HLNHIKJB_01367 Inner membrane protein YtfF	330
GCF_000963925.1	HLNHIKJB_00302 Ferripyoverdine receptor	794
GCF_000379465.1	HLNLJPNB_02702 putative Nudix hydrolase NudL	247
GCF_000379465.1	HLNLJPNB_07239 hypothetical protein	620
GCF_000379465.1	HLNLJPNB_05829 Inner membrane metabolite transport protein YdjE	445
GCF_000379465.1	HLNLJPNB_03613 hypothetical protein	110
GCF_000379465.1	HLNLJPNB_06328 Pulcherriminic acid synthase	416
GCF_017052375.1	HLOBODHK_02970 hypothetical protein	52
GCF_017052375.1	HLOBODHK_01191 Chromosome partition protein Smc	514
GCF_017052375.1	HLOBODHK_03356 PCP degradation transcriptional activation protein	301
GCF_017052375.1	HLOBODHK_02628 Aldehyde oxidoreductase molybdenum-binding subunit PaoC	779
GCF_017052375.1	HLOBODHK_01404 putative protein YciO	206
GCF_003025555.1	HLOMNHNA_01364 Peptidase B	431
GCF_003025555.1	HLOMNHNA_01721 hypothetical protein	156
GCF_003025555.1	HLOMNHNA_03041 Protein mlc	404
GCF_003025555.1	HLOMNHNA_02498 Isopenicillin N epimerase	469
GCF_003025555.1	HLOMNHNA_01856 Ribosomal protein L11 methyltransferase	294
GCF_000388115.1	HLONMEBJ_01423 Outer membrane usher protein HtrE	860
GCF_000388115.1	HLONMEBJ_02188 Aromatic-amino-acid aminotransferase	398
GCF_000388115.1	HLONMEBJ_00882 Cytochrome c oxidase assembly protein CtaG	178
GCF_000388115.1	HLONMEBJ_03146 hypothetical protein	107
GCF_000388115.1	HLONMEBJ_03100 hypothetical protein	256
GCF_001997345.1	HLOOBAPJ_00979 hypothetical protein	231
GCF_001997345.1	HLOOBAPJ_01752 hypothetical protein	295
GCF_001997345.1	HLOOBAPJ_00428 hypothetical protein	489
GCF_001997345.1	HLOOBAPJ_01163 Ribose operon repressor	348
GCF_001997345.1	HLOOBAPJ_00296 hypothetical protein	518
GCF_010671595.1	HLOOHFNN_00535 Linearmycin resistance ATP-binding protein LnrL	298
GCF_010671595.1	HLOOHFNN_01944 hypothetical protein	123
GCF_010671595.1	HLOOHFNN_00712 Ribosome-recycling factor	184
GCF_010671595.1	HLOOHFNN_02373 putative propionyl-CoA carboxylase beta chain 5	542
GCF_010671595.1	HLOOHFNN_02284 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE	287
GCF_003989795.1	HLOPJKLP_01452 Nodulation protein D 2	310
GCF_003989795.1	HLOPJKLP_03539 IS3 family transposase ISAs20	322
GCF_003989795.1	HLOPJKLP_00364 hypothetical protein	157
GCF_003989795.1	HLOPJKLP_00451 hypothetical protein	136
GCF_003989795.1	HLOPJKLP_03322 High frequency lysogenization protein HflD	212
GCF_002009845.1	HLPEJNMM_03618 hypothetical protein	181
GCF_002009845.1	HLPEJNMM_03563 Acetylglutamate kinase	371
GCF_002009845.1	HLPEJNMM_01882 Short-chain-enoyl-CoA hydratase	255
GCF_002009845.1	HLPEJNMM_02082 Erythronate-4-phosphate dehydrogenase	340
GCF_002009845.1	HLPEJNMM_03671 HTH-type transcriptional regulator Xre	126
GCF_014651455.1	HMAAAKJK_04181 Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase	358
GCF_014651455.1	HMAAAKJK_01197 hypothetical protein	39
GCF_014651455.1	HMAAAKJK_03173 Unsaturated 3S-rhamnoglycuronyl hydrolase	374
GCF_014651455.1	HMAAAKJK_02037 hypothetical protein	212
GCF_014651455.1	HMAAAKJK_00327 TonB-dependent receptor P3	1150
GCF_900103965.1	HMABFIPM_05139 hypothetical protein	355
GCF_900103965.1	HMABFIPM_01392 Putative esterase	147
GCF_900103965.1	HMABFIPM_05255 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	380
GCF_900103965.1	HMABFIPM_00107 hypothetical protein	382
GCF_900103965.1	HMABFIPM_04252 Methylated-DNA--protein-cysteine methyltransferase	117
GCF_000192105.1	HMBAJGAB_04180 hypothetical protein	45
GCF_000192105.1	HMBAJGAB_01186 Cytochrome bo(3) ubiquinol oxidase subunit 3	204
GCF_000192105.1	HMBAJGAB_00055 hypothetical protein	154
GCF_000192105.1	HMBAJGAB_01155 Maltodextrin glucosidase	612
GCF_000192105.1	HMBAJGAB_00066 Coenzyme A biosynthesis bifunctional protein CoaBC	410
GCF_000217995.1	HMCCHJJJ_01208 hypothetical protein	86
GCF_000217995.1	HMCCHJJJ_00211 hypothetical protein	55
GCF_000217995.1	HMCCHJJJ_01711 Homoisocitrate dehydrogenase	332
GCF_000217995.1	HMCCHJJJ_01363 hypothetical protein	151
GCF_000217995.1	HMCCHJJJ_01901 hypothetical protein	384
GCF_014502795.1	HMCEBOGP_02699 Propanediol dehydratase small subunit	172
GCF_014502795.1	HMCEBOGP_01389 RNA polymerase sigma-E factor	248
GCF_014502795.1	HMCEBOGP_03500 hypothetical protein	52
GCF_014502795.1	HMCEBOGP_00849 Glycerol kinase	500
GCF_014502795.1	HMCEBOGP_01250 Indole-3-glycerol phosphate synthase	284
GCF_900141735.1	HMCFDFBN_03375 Aklanonic acid methyl ester cyclase DauD	164
GCF_900141735.1	HMCFDFBN_01189 hypothetical protein	98
GCF_900141735.1	HMCFDFBN_00062 hypothetical protein	256
GCF_900141735.1	HMCFDFBN_02635 Dipeptide transport system permease protein DppB	334
GCF_900141735.1	HMCFDFBN_02814 hypothetical protein	324
GCF_000311985.1	HMCIHODF_01475 30S ribosomal protein S14	61
GCF_000311985.1	HMCIHODF_01109 Diacylglycerol kinase	306
GCF_000311985.1	HMCIHODF_00168 Glucarate dehydratase	443
GCF_000311985.1	HMCIHODF_00565 hypothetical protein	285
GCF_000311985.1	HMCIHODF_00455 hypothetical protein	811
GCF_900110465.1	HMDAEEBI_00954 Octanoyltransferase LipM	229
GCF_900110465.1	HMDAEEBI_00647 hypothetical protein	334
GCF_900110465.1	HMDAEEBI_03995 hypothetical protein	843
GCF_900110465.1	HMDAEEBI_00300 ATP synthase subunit b	295
GCF_900110465.1	HMDAEEBI_03029 hypothetical protein	453
GCF_003073175.1	HMEPOBJC_01314 hypothetical protein	155
GCF_003073175.1	HMEPOBJC_00928 Peptidoglycan-N-acetylglucosamine deacetylase	245
GCF_003073175.1	HMEPOBJC_02102 Two-component system WalR/WalK regulatory protein YycH	436
GCF_003073175.1	HMEPOBJC_03111 hypothetical protein	520
GCF_003073175.1	HMEPOBJC_03157 Stage V sporulation protein AD	339
GCF_022846135.1	HMFOBHNI_00613 Energy-coupling factor transporter transmembrane protein EcfT	269
GCF_022846135.1	HMFOBHNI_01881 Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	607
GCF_022846135.1	HMFOBHNI_00242 High-affinity branched-chain amino acid transport system permease protein LivH	293
GCF_022846135.1	HMFOBHNI_01064 hypothetical protein	199
GCF_022846135.1	HMFOBHNI_00211 Multidrug export protein MepA	444
GCF_010730355.1	HMGHACNH_05405 Putative malate oxidoreductase [NAD]	536
GCF_010730355.1	HMGHACNH_00728 hypothetical protein	225
GCF_010730355.1	HMGHACNH_05867 Putative thiosulfate sulfurtransferase SseB	284
GCF_010730355.1	HMGHACNH_02527 Fatty acyl-CoA reductase	262
GCF_010730355.1	HMGHACNH_03837 RNA pyrophosphohydrolase	161
GCF_000420605.1	HMGHBIPB_01433 Methionine import ATP-binding protein MetN 2	224
GCF_000420605.1	HMGHBIPB_01157 Phosphoribosylformylglycinamidine synthase subunit PurS	78
GCF_000420605.1	HMGHBIPB_00338 Pyruvate kinase	474
GCF_000420605.1	HMGHBIPB_01567 hypothetical protein	188
GCF_000420605.1	HMGHBIPB_00786 ESAT-6-like protein EsxB	107
GCF_003945345.1	HMGOFDLF_03130 hypothetical protein	188
GCF_003945345.1	HMGOFDLF_05952 UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	360
GCF_003945345.1	HMGOFDLF_00067 Transcriptional repressor CcpN	202
GCF_003945345.1	HMGOFDLF_01139 Metallopeptidase ImmA	152
GCF_003945345.1	HMGOFDLF_02818 ATP-dependent DNA helicase RecQ	741
GCF_000613285.1	HMHBIKKF_03207 hypothetical protein	78
GCF_000613285.1	HMHBIKKF_00517 Fatty acid oxidation complex subunit alpha	343
GCF_000613285.1	HMHBIKKF_01054 hypothetical protein	68
GCF_000613285.1	HMHBIKKF_00732 Phosphoribosylamine--glycine ligase	422
GCF_000613285.1	HMHBIKKF_00656 cytosol aminopeptidase	255
GCF_000724775.3	HMHCHEEJ_01509 HTH-type transcriptional repressor NagR	243
GCF_000724775.3	HMHCHEEJ_00546 Protein SprT-like protein	152
GCF_000724775.3	HMHCHEEJ_03645 Acetyl-CoA acetyltransferase	394
GCF_000724775.3	HMHCHEEJ_00648 hypothetical protein	393
GCF_000724775.3	HMHCHEEJ_04384 Queuosine precursor transporter QueT	161
GCA_025925425.1	HMHMGKIH_01972 Sensor histidine kinase BtsS	410
GCA_025925425.1	HMHMGKIH_02764 Toxin YoeB	85
GCA_025925425.1	HMHMGKIH_02468 DNA-binding transcriptional activator DevR/DosR	221
GCA_025925425.1	HMHMGKIH_01305 hypothetical protein	41
GCA_025925425.1	HMHMGKIH_00539 hypothetical protein	166
GCF_002355415.1	HMICGLCO_01379 Outer membrane protein A	267
GCF_002355415.1	HMICGLCO_03425 D-tagatose-1,6-bisphosphate aldolase subunit GatY	406
GCF_002355415.1	HMICGLCO_02152 hypothetical protein	219
GCF_002355415.1	HMICGLCO_02859 Glutamate/aspartate import permease protein GltK	220
GCF_002355415.1	HMICGLCO_02413 Heat-inducible transcription repressor HrcA	357
GCF_900637725.1	HMJBKMED_00163 Modification methylase HaeIII	363
GCF_900637725.1	HMJBKMED_01238 hypothetical protein	197
GCF_900637725.1	HMJBKMED_00857 hypothetical protein	553
GCF_900637725.1	HMJBKMED_02452 hypothetical protein	526
GCF_900637725.1	HMJBKMED_00646 Voltage-gated ClC-type chloride channel ClcB	453
GCF_003987275.1	HMJDMFDB_00754 Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	433
GCF_003987275.1	HMJDMFDB_01568 LexA repressor	205
GCF_003987275.1	HMJDMFDB_01743 hypothetical protein	230
GCF_003987275.1	HMJDMFDB_00782 Lipopolysaccharide assembly protein A	96
GCF_003987275.1	HMJDMFDB_00813 Tuberculostearic acid methyltransferase UfaA1	412
GCF_900156665.1	HMJHPJGJ_00005 hypothetical protein	350
GCF_900156665.1	HMJHPJGJ_01901 Vitamin B12 import ATP-binding protein BtuD	252
GCF_900156665.1	HMJHPJGJ_01615 Long-chain-fatty-acid--CoA ligase	630
GCF_900156665.1	HMJHPJGJ_01580 Ribosomal RNA small subunit methyltransferase J	87
GCF_900156665.1	HMJHPJGJ_01107 hypothetical protein	475
GCF_000739595.1	HMJIDDOG_01835 hypothetical protein	154
GCF_000739595.1	HMJIDDOG_00567 50S ribosomal protein L11	158
GCF_000739595.1	HMJIDDOG_03448 Tryptophan synthase alpha chain	298
GCF_000739595.1	HMJIDDOG_03554 hypothetical protein	112
GCF_000739595.1	HMJIDDOG_02033 Purine nucleoside phosphorylase DeoD-type	275
GCF_003014535.1	HMJPOIDA_01017 hypothetical protein	256
GCF_003014535.1	HMJPOIDA_00591 UDP-glucose 6-dehydrogenase YwqF	441
GCF_003014535.1	HMJPOIDA_03616 hypothetical protein	68
GCF_003014535.1	HMJPOIDA_04327 hypothetical protein	591
GCF_003014535.1	HMJPOIDA_02387 hypothetical protein	137
GCF_016907385.1	HMKEJDBB_02945 GDP-mannose 4,6-dehydratase	320
GCF_016907385.1	HMKEJDBB_02588 hypothetical protein	402
GCF_016907385.1	HMKEJDBB_00305 HTH-type transcriptional regulator DegA	357
GCF_016907385.1	HMKEJDBB_01801 hypothetical protein	151
GCF_016907385.1	HMKEJDBB_01167 hypothetical protein	74
GCF_000376825.1	HMKKHDAN_03046 hypothetical protein	67
GCF_000376825.1	HMKKHDAN_03241 putative HTH-type transcriptional regulator	119
GCF_000376825.1	HMKKHDAN_00028 hypothetical protein	325
GCF_000376825.1	HMKKHDAN_01457 hypothetical protein	556
GCF_000376825.1	HMKKHDAN_01064 putative M18 family aminopeptidase 2	446
GCF_003814835.1	HMKOGFHF_01585 hypothetical protein	124
GCF_003814835.1	HMKOGFHF_00465 hypothetical protein	376
GCF_003814835.1	HMKOGFHF_00401 Fumarate reductase (CoM/CoB) subunit A	547
GCF_003814835.1	HMKOGFHF_00294 hypothetical protein	129
GCF_003814835.1	HMKOGFHF_01755 putative protein	281
GCA_018063715.1	HMLEKLAL_00973 hypothetical protein	329
GCA_018063715.1	HMLEKLAL_00295 hypothetical protein	210
GCA_018063715.1	HMLEKLAL_00882 hypothetical protein	147
GCA_018063715.1	HMLEKLAL_00256 hypothetical protein	243
GCA_018063715.1	HMLEKLAL_01016 Putative ribose-phosphate pyrophosphokinase	393
GCF_006788875.1	HMLHBJJD_01813 Ribose import permease protein RbsC	347
GCF_006788875.1	HMLHBJJD_00620 hypothetical protein	113
GCF_006788875.1	HMLHBJJD_02773 Transcriptional regulator FurA	144
